number,operation,volume,client_workers_count,server_workers_count,time,throughput,client_workers_success_count,client_workers_failed_count,server_workers_success_count,server_workers_failed_count
1,upload,10MB,1,1,0.08,123852699.39,1,0,1,0
2,upload,10MB,1,5,0.09,121134613.10,1,0,5,0
3,upload,10MB,1,50,0.09,120047781.44,1,0,50,0
4,upload,10MB,5,1,0.44,120308852.68,5,0,1,0
5,upload,10MB,5,5,0.36,145939568.49,5,0,5,0
6,upload,10MB,5,50,0.30,173667654.29,5,0,50,0
7,upload,10MB,50,1,2.67,196102222.45,50,0,1,0
8,upload,10MB,50,5,2.98,176206130.27,50,0,5,0
9,upload,10MB,50,50,1.96,267377760.24,50,0,50,0
10,upload,50MB,1,1,0.45,115685398.78,1,0,1,0
11,upload,50MB,1,5,0.42,125664072.77,1,0,5,0
12,upload,50MB,1,50,0.41,126769260.22,1,0,50,0
13,upload,50MB,5,1,1.89,138387060.52,5,0,1,0
14,upload,50MB,5,5,2.19,119675881.28,5,0,5,0
15,upload,50MB,5,50,2.50,105021897.03,5,0,50,0
16,upload,50MB,50,1,20.95,125102240.02,50,0,1,0
17,upload,50MB,50,5,25.59,102440958.95,50,0,5,0
18,upload,50MB,50,50,17.85,146844939.00,50,0,50,0
19,upload,100MB,1,1,0.96,109505011.98,1,0,1,0
20,upload,100MB,1,5,0.90,116150860.13,1,0,5,0
21,upload,100MB,1,50,0.85,123348852.59,1,0,50,0
22,upload,100MB,5,1,4.01,130847377.79,5,0,1,0
23,upload,100MB,5,5,4.66,112498701.50,5,0,5,0
24,upload,100MB,5,50,4.65,112691389.13,5,0,50,0
25,upload,100MB,50,1,46.47,112818212.58,50,0,1,0
26,upload,100MB,50,5,48.43,108261452.67,50,0,5,0
27,upload,100MB,50,50,34.55,151752029.42,50,0,50,0
28,download,10MB,1,1,0.06,164465828.68,1,0,1,0
29,download,10MB,1,5,0.06,165109809.67,1,0,5,0
30,download,10MB,1,50,0.06,177391370.56,1,0,50,0
31,download,10MB,5,1,0.19,277340342.51,5,0,1,0
32,download,10MB,5,5,0.26,201423529.53,5,0,5,0
33,download,10MB,5,50,0.24,219127272.39,5,0,50,0
34,download,10MB,50,1,1.71,306173764.45,50,0,1,0
35,download,10MB,50,5,1.58,332232037.16,50,0,5,0
36,download,10MB,50,50,1.62,322717652.42,50,0,50,0
37,download,50MB,1,1,0.52,100752832.21,1,0,1,0
38,download,50MB,1,5,0.48,108462996.24,1,0,5,0
39,download,50MB,1,50,0.52,100179412.44,1,0,50,0
40,download,50MB,5,1,1.81,145187654.91,5,0,1,0
41,download,50MB,5,5,2.22,117819654.12,5,0,5,0
42,download,50MB,5,50,2.22,118336804.59,5,0,50,0
43,download,50MB,50,1,16.90,155151855.34,50,0,1,0
44,download,50MB,50,5,15.38,170411156.28,50,0,5,0
45,download,50MB,50,50,16.20,161851388.93,50,0,50,0
46,download,100MB,1,1,1.34,78106984.32,1,0,1,0
47,download,100MB,1,5,1.55,67599521.66,1,0,5,0
48,download,100MB,1,50,1.41,74435406.49,1,0,50,0
